423½ Elefa St	Roseville	95678
428 Ave	Reedley	93654
42Nd	Capitola	95010
42Nd Ave	Clearlake	95422
42Nd Ave	Indio	92203
42Nd Ave	Palm Desert	92211
42Nd Ave	Palm Desert	92260
42Nd Ave	Sacramento	95822
42Nd Ave	Sacramento	95824
42Nd Ave	San Francisco	94116
42Nd Ave	San Francisco	94121
42Nd Ave	San Francisco	94122
42Nd Ave	San Mateo	94403
42Nd Place	Los Angeles	90011
42Nd Place	Los Angeles	90062
42Nd St	Bakersfield	93301
42Nd St	Emeryville	94608
42Nd St	Jurupa Valley	92509
42Nd St	Newport Beach	92663
42Nd St	Richmond	94804
42Nd St	Richmond	94805
42Nd St	Sacramento	95817
42Nd St	Sacramento	95819
42Nd St	Sacramento	95820
42Nd St	Sacramento	95823
42Nd St	Sacramento	95824
42Nd St	San Diego	92102
42Nd St	San Diego	92105
42Nd St	San Diego	92113
42Nd St	San Diego	92116
42Nd Street	Los Angeles	90008
42Nd Street	Los Angeles	90011
42Nd Street	Los Angeles	90037
42Nd Street	Los Angeles	90058
42Nd Street	Manhattan Beach	90266
42Nd Street East	Lancaster	93535
42Nd Street East	Palmdale	93552
42Nd Street West	Acton	93510
42Nd Street West	Lancaster	93536
