Defender Ct	Del Mar	92014
Defender Drive	Agoura Hills	91301
Defender Grd	Pioneer	 
Defender Grd	Pioneer	95666
Defender Ln	Tracy	95377
Defender St	Chowchilla	93610
Defiance Avenue	Los Angeles	90002
Defiance Avenue	Los Angeles	90059
Defiance Cir	Sacramento	95827
Defiance Dr	Huntington Beach	92647
Defiance Dr	Huntington Beach	92647-4025
Defiance Dr	Huntington Beach	92647-4026
Defiance Dr	Huntington Beach	92647-4027
Defiance Dr	Huntington Beach	92647-4028
Defiance Dr	Huntington Beach	92647-4029
Defiance Dr	Huntington Beach	92647-4070
Defiance Way	Moreno Valley	92557
Defiance Way	San Diego	92115
Defiant Way	Grass Valley	95945
Deflore Dr	Bangor	95966
Deflore Dr	Oroville	95966
Defoe Rd	Barstow	92311
Deforest Ave	Westley	95387
Deforest Cir	Jurupa Valley	91752
Deforest Ct	Hughson	95326
Deforest Street	Woodland Hills	91364
Deforest Way	Sacramento	95816
Defrain Blvd	Blythe	92225
