Lakaren Ln	Jurupa Valley	92509
Lake	Aptos	95003
Lake	Boulder Creek	95006
Lake	Encinitas	92024
Lake	Felton	95018
Lake	Mt Hermon	95041
Lake	Santa Cruz	95062
Lake	Wastonville	95076
Lake	Watsonville	95076
Lake Adlon Ct	San Diego	92119
Lake Adlon Dr	San Diego	92119
Lake Alamor Ave	San Diego	92119
Lake Albano Ave	San Diego	92119
Lake Albano Cir	San Jose	95135
Lake Almanor Cir	Sacramento	95829
Lake Almanor Ct	Sacramento	95829
Lake Almanor Dr	San Jose	95123
Lake Alturas Ave	San Diego	92119
Lake Amador Dr	Ione	95640
Lake Andrita Ave	San Diego	92119
Lake Angela Dr	La Mesa	91942
Lake Angela Dr	San Diego	92119
Lake Angela Drive	Soda Springs	95728
Lake Apopka Pl	San Diego	92119
Lake Arago Ave	San Diego	92119
Lake Aral Dr	San Diego	92119
Lake Ariana Ave	San Diego	92119
Lake Arrowhead Ave	Bakersfield	93314
Lake Arrowhead Dr	San Diego	92119
Lake Artemus Ave	San Diego	92119
Lake Arthur Rd	Applegate	95703
Lake Arthur Rd	Auburn	95602
Lake Arthur Rd	Auburn	95603
Lake Ashmere Ct	San Diego	92119
Lake Ashmere Dr	San Diego	92119
Lake Ashwood Ave	San Diego	92119
Lake Athabaska Pl	San Diego	92119
Lake Athabaska Way	San Diego	92119
Lake Atlin Ave	San Diego	92119
Lake Ave	Chowchilla	93610
Lake Ave	Colusa	95912
Lake Ave	Colusa	95932
Lake Ave	Corcoran	93212
Lake Ave	Crescent City	95531
Lake Ave	Hemet	92544
Lake Ave	Middletown	95461
Lake Ave	Newport Beach	92663
Lake Ave	Ojai	93023
Lake Ave	Oroville	95965
Lake Ave	Reedley	93654
Lake Ave	Rodeo	94572
Lake Ave	Tahoe City	96145
Lake Ave 1/2	Chowchilla	93610
Lake Ave S	Calipatria	92233
Lake Avenue	Altadena	91001
Lake Avenue	La Verne	91750
Lake Avenue	Paramount	90723
Lake Avenue	Truckee	96161
Lake Baca Dr	San Diego	92119
Lake Badin Ave	San Diego	92119
Lake Ben Ave	San Diego	92119
Lake Benbow Dr	Garberville	95542
Lake Berryessa Ct	Bakersfield	93314
Lake Bluff Cir	Spring Valley	91977
Lake Bluff Dr	Lake Elsinore	92530
Lake Blvd	Carlsbad	92010
Lake Blvd	City Of Shasta Lake	96003
Lake Blvd	City Of Shasta Lake	96019
Lake Blvd	City Of Shasta Lake	96089
Lake Blvd	Emerald Hills	94062
Lake Blvd	Lower Lake	95457
Lake Blvd	Needles	92363
Lake Blvd	Oceanside	92056
Lake Blvd	Redding	96001
Lake Blvd	Redding	96002
Lake Blvd	Redding	96003
Lake Blvd	Redding	96019
Lake Blvd	Redwood City	94062
Lake Blvd East	Redding	96003
Lake Boulevard	Davis	95616
Lake Bracciano Ave	Bakersfield	93311
Lake Breeze Cir	Lake Elsinore	92530
Lake Breeze Cir	Yucaipa	92399
Lake Breeze Ct	Spring Valley	91977
Lake Breeze Dr	Spring Valley	91977
Lake Breeze Dr	Yucaipa	92399
Lake Breeze Ln	Lake Elsinore	92530
