Roa Dr	Carson	90746
Roach	Freedom	95019
Roach Dr	La Mesa	91942
Roach St	San Francisco	94133
Roache	Freedom	95019
Road	Carmel Valley	93924
Road 0	Benbow	95542
Road 1	Chowchilla	93610
Road 1	Chowchilla	93620
Road 10	Chowchilla 	93610
Road 10 1/2	Chowchilla	93610
Road 10 1/2	Firebaugh	93622
Road 100	Dinuba	93618
Road 100	Tulare	93274
Road 100	Visalia	93277
Road 100	Visalia	93291
Road 104	Dinuba	93618
Road 104	Earlimart	93219
Road 104	Pixley	93256
Road 104	Sultana	93666
Road 104	Tipton	93272
Road 105	Dinuba	93618
Road 105	Sultana	93666
Road 1052	Dobbins	95935
Road 106	Sultana	93666
Road 108	Cutler	93615
Road 108	Dinuba	93618
Road 108	Tulare	93274
Road 108	Visalia	93277
Road 108	Visalia	93291
Road 109	Dinuba	93618
Road 11	Chowchilla	93610
Road 112	Cutler	93615
Road 112	Delano	93215
Road 112	Dinuba	93618
Road 112	Earlimart	93219
Road 112	Pixley	93256
Road 112	Tipton	93272
Road 112	Tulare	93274
Road 112	Visalia	93291
Road 114	Cutler	93615
Road 114	Dinuba	93618
Road 114	Orosi	93647
Road 116	Cutler	93615
Road 116	Orosi	93647
Road 118	Cutler	93615
Road 118	Tulare	93274
Road 12	Chowchilla	93610
Road 12	Kingsburg	93631
Road 120	Cutler	93615
Road 120	Dinuba	93618
Road 120	Earlimart	93219
Road 120	Orange Cove	93646
Road 120	Orosi	93647
Road 120	Pixley	93256
Road 120	Tipton	93272
Road 121	Visalia	93291
Road 122	Pixley	93256
Road 122	Visalia	93291
Road 124	Cutler	93615
Road 124	Orange Cove	93646
Road 124	Orosi	93647
Road 124	Pixley	93256
Road 124	Tipton	93272
Road 124	Tulare	93274
Road 124	Visalia	93277
Road 124	Visalia	93291
Road 125	Orosi	93647
Road 126	Earlimart	93219
Road 126	Orosi	93647
Road 126	Pixley	93256
Road 126	Tulare	93274
Road 127	Cutler	93615
Road 127	Orosi	93647
Road 127	Visalia	93291
Road 128	Cutler	93615
Road 128	Delano	93215
Road 128	Earlimart	93219
Road 128	Orange Cove	93646
Road 128	Orosi	93647
Road 128	Pixley	93256
Road 128	Tipton	93272
Road 128	Tulare	93274
Road 13	Chowchilla	93610
Road 13	Firebaugh	93622
Road 130	Cutler	93615
Road 130	Earlimart	93219
Road 130	Orosi	93647
Road 130	Pixley	93256
Road 130	Tulare	93274
Road 131	Pixley	93256
Road 132	Cutler	93615
Road 132	Earlimart	93219
Road 132	Orange Cove	93646
Road 132	Orosi	93647
Road 132	Pixley	93256
Road 132	Tulare	93274
Road 132	Visalia	93292
Road 134	Earlimart	93219
Road 134	Pixley	93256
Road 136	Cutler	93615
Road 136	Delano	93215
Road 136	Earlimart	93219
Road 136	Orange Cove	93646
Road 136	Orosi	93647
Road 136	Pixley	93256
Road 136	Tipton	93272
Road 136	Tulare	93274
Road 138	Visalia	93292
Road 139	Orosi	93647
Road 14	Chowchilla	93610
Road 14	Madera	93637
Road 14	Madera	93638
Road 14 1/2	Chowchilla	93610
Road 140	Cutler	93615
Road 140	Orange Cove	93646
Road 140	Orosi	93647
Road 140	Pixley	93256
